,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
33,0.723,0.757,121.919,0.0432,0.197,0.0,4,0.618,7,176080,-10.004,0.887,1,audio_features,spotify:track:25MNMuaD4EfXeEPqzJ236F
34,0.497,0.0504,95.818,0.105,0.41,0.0499,4,0.749,10,438493,-12.609,0.585,0,audio_features,spotify:track:1ko2lVN0vKGUl9zrU0qSlT
35,0.753,0.115,172.994,0.0476,0.019,0.000664,4,0.43,4,264960,-7.309,0.455,0,audio_features,spotify:track:6JlnMdYn2xUmhMNb4LuZM8
36,0.681,0.381,120.009,0.0309,0.17,0.144,4,0.756,6,233615,-5.649,0.577,0,audio_features,spotify:track:01VEpM38d3fcWZddfuYWOv
37,0.763,0.238,137.967,0.028,0.000795,1.86e-05,4,0.534,4,192160,-6.064,0.576,0,audio_features,spotify:track:0z3GnQC4I6HDNHM16Cgvj8
38,0.689,0.336,120.017,0.037,0.192,0.0,4,0.74,9,362320,-6.043,0.58,0,audio_features,spotify:track:32sSR7MgxuLxQP4q4F4tGH
39,0.733,0.0907,133.87,0.136,0.0597,3.01e-06,4,0.765,6,232373,-7.145,0.16,1,audio_features,spotify:track:6dRtvWOFjzw9nYijOWIEoy
40,0.913,0.347,119.992,0.0466,0.0263,1.35e-05,4,0.551,0,224493,-4.063,0.544,0,audio_features,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l
41,0.43,0.188,164.267,0.0322,0.546,1.87e-05,4,0.255,9,197813,-12.564,0.546,1,audio_features,spotify:track:39q7xibBdRboeMKUbZEB6g
42,0.327,0.126,98.998,0.0253,0.802,1.26e-05,4,0.672,0,247954,-11.196,0.0994,1,audio_features,spotify:track:3XARTfDznSPg0HVPCGJDz0
43,0.237,0.109,73.024,0.0344,0.638,0.305,4,0.263,3,289792,-13.738,0.0461,1,audio_features,spotify:track:3tJjZMHLqhD8DaGgdBICnc
44,0.801,0.288,113.98,0.0616,0.5,0.363,4,0.408,5,428267,-6.648,0.262,1,audio_features,spotify:track:3yePZLjcJ4XNbh0vlKTZBo
45,0.692,0.193,112.053,0.0276,0.363,0.000158,4,0.622,7,195467,-6.97,0.774,1,audio_features,spotify:track:0QnONzv3TvHAWk294h6DaQ
46,0.3,0.154,162.874,0.0427,0.894,0.0,3,0.403,2,245427,-6.475,0.234,1,audio_features,spotify:track:6CGf2aPvKj7497cZ6JMmGT
47,0.366,0.106,91.147,0.0312,0.273,9.04e-05,4,0.754,8,287440,-10.07,0.469,1,audio_features,spotify:track:1KU5EHSz04JhGg3rReGJ0N
48,0.547,0.0921,92.997,0.122,0.0594,0.00227,4,0.786,1,232477,-10.114,0.807,0,audio_features,spotify:track:2KTFuRiTBQoHuUi0Jev6fl
49,0.882,0.281,107.932,0.0719,0.0674,2.3e-06,4,0.766,5,172467,-4.478,0.544,1,audio_features,spotify:track:0sNKiz82ATCvT3f3XVVUUj
50,0.744,0.242,123.017,0.143,0.197,0.0,4,0.794,4,289213,-5.194,0.716,0,audio_features,spotify:track:2f4vdaOFLc870TX7NK6o7e
51,0.605,0.103,103.929,0.0294,0.0047,0.00144,4,0.282,6,403453,-4.916,0.0783,0,audio_features,spotify:track:0RdUX4WE0fO30VnlUbDVL6
52,0.668,0.148,87.959,0.0793,0.522,0.0,4,0.621,6,255747,-7.146,0.663,0,audio_features,spotify:track:7qWwr8sJ6faH3EKrbnpn2X
53,0.179,0.0886,96.529,0.0326,0.879,0.0,4,0.332,5,125667,-11.83,0.315,1,audio_features,spotify:track:3BQHpFgAp4l80e1XslIjNI
54,0.875,0.402,75.009,0.0422,0.00752,0.000461,4,0.284,11,340907,-6.069,0.595,0,audio_features,spotify:track:1L94M3KIu7QluZe63g64rv
55,0.59,0.0869,109.969,0.0484,0.0837,0.00821,4,0.324,4,337560,-6.94,0.22,0,audio_features,spotify:track:5GjH3tVjg5xR50B9bZ75UR
56,0.788,0.0848,121.98,0.0381,0.15,0.000383,4,0.55,11,287627,-5.825,0.411,0,audio_features,spotify:track:1McqRBaVgEgeF0AW97Gr5A
57,0.224,0.13,140.164,0.056,0.683,0.0,4,0.717,1,159093,-10.832,0.594,1,audio_features,spotify:track:1zdBFL2UtwbCEubEdcdSmU
58,0.889,0.458,134.469,0.0964,0.000626,0.403,4,0.4,11,592417,-6.91,0.343,0,audio_features,spotify:track:3yALY3kIx7Z7szbRO2lRgT
59,0.866,0.232,109.825,0.059,0.000739,0.00141,4,0.308,2,438120,-5.671,0.227,0,audio_features,spotify:track:6p8eFfPw3nQkf37aT3AkmK
60,0.74,0.343,155.005,0.32,0.74,1.45e-06,4,0.687,2,284373,-6.581,0.754,1,audio_features,spotify:track:6ylgfbnMGbhHqnIIlvSlff
