,name,album,artist,release_date,duration,popularity,id
184,Nadal jestem tu,Nadal jestem tu,KęKę,2021-02-17,196106,25,4hJip22FGywDqWCIV24sMS
185,Nie raj,Wiedza o społeczeństwie,Lao Che,2018-02-16,306093,44,1LPzBeE0fNQkklHQayI3dw
186,Gen hardcoru,Chronos,Epis DYM KNF,2018-09-28,261250,33,1EQhc7KuP2K1ugnw45onoT
187,Pozytywne wartości,ATOM,Epis DYM KNF,2020-06-05,195000,36,097kcfUHo7TzzOzAKsdyhH
188,List w Butelce,Złota Owca,Paluch,2017-11-24,219057,43,6RWlszoXD9n1DzSFkEErTm
189,You Never Can Tell,St. Louis To Liverpool,Chuck Berry,1964-11-01,161906,70,6FT83pFXKhDlXDsNJFAHWz
190,Rattle That Lock,Rattle That Lock (Deluxe),David Gilmour,2015-09-18,295573,48,6IYLjqSKQ4ma8FwlZd9LLI
191,Street of Dreams - Bonus Version,The Village Lanterne,Blackmore's Night,2006-04-04,272946,8,7qUx8EtbduXZru3ZXlQJqS
192,Tryb ON,Tryb ON,KęKę,2021-03-22,195840,30,2muiaDbhAy4tUCRN3eQFqA
193,Live Is Life - Live,Die Grössten Hits Aus 15 Jahren,Opus,1997-01-01,254600,61,7hkOgKKybgawYUcrkZD3wV
194,So wie du bist,Mama,MoTrip,2015-06-19,268515,64,12SH8NE1e17yItgsb2gitp
195,DAS RENNEN,DAS RENNEN,RIN,2020-06-05,193684,52,3qT2eKpWNq5cze7kGGORDZ
196,I Still Can't Sleep / The Cannot Touch Her (Betsy's Theme),Taxi Driver,Bernard Herrmann,1976,274240,49,45dFVMC4gijvG7lw3yNnD8
197,Without Me,The Eminem Show,Eminem,2002-05-26,290320,87,7lQ8MOhq6IN2w8EYcFNSUk
198,Komplett im Arsch,Scheitern und Verstehen,Feine Sahne Fischfilet,2012-11-09,283653,0,2lPXTisSIBbl5WtOvZ9gSj
